Word,Negative Count,Positive Count,Most_Pos,Count_total
thank,2209,15364,6.96,17573
thanks,4463,27671,6.2,32134
awesome,2314,9057,3.91,11371
glad,2207,8046,3.65,10253
amazing,1797,6236,3.47,8033
follow,2312,7865,3.4,10177
happy,5612,18499,3.3,24111
great,6604,21744,3.29,28348
check,2026,5938,2.93,7964
birthday,2130,6083,2.86,8213
love,15823,45162,2.85,60985
hey,4262,12011,2.82,16273
cool,2753,7202,2.62,9955
nice,5556,14512,2.61,20068
you!,2434,6096,2.5,8530
good,24706,55035,2.23,79741
sounds,2663,5842,2.19,8505
yes,4413,9531,2.16,13944
haha,7085,15253,2.15,22338
&lt;3,3260,6965,2.136503067,10225
best,4651,9876,2.12341432,14527
ya,2537,5274,2.078833268,7811
?,3199,6073,1.898405752,9272
finally,3707,6933,1.870245482,10640
it!,3357,6252,1.862377122,9609
movie,3568,6556,1.837443946,10124
fun,7183,13179,1.834748712,20362
new,15174,26357,1.736984315,41531
everyone,4595,7967,1.733841132,12562
tweet,3519,6033,1.714407502,9552
watching,8226,14043,1.707148067,22269
wait,7244,12198,1.683876311,19442
;,3281,5435,1.656507162,8716
ur,4865,7976,1.63946557,12841
sure,5046,8200,1.625049544,13246
morning,9194,14832,1.613226017,24026
pretty,4603,7329,1.592222464,11932
look,4894,7771,1.587862689,12665
you.,3088,4844,1.56865285,7932
!,6372,9466,1.485561833,15838
lol,17213,25490,1.480857491,42703
guys,4524,6378,1.409814324,10902
twitter,10484,14524,1.385349103,25008
first,6563,9045,1.37818071,15608
try,4186,5697,1.360965122,9883
tell,4261,5791,1.359070641,10052
x,5479,7393,1.34933382,12872
say,6433,8550,1.329084409,14983
made,5791,7577,1.308409601,13368
hope,14148,18409,1.301173311,32557
ok,5162,6661,1.290391321,11823
keep,4896,6177,1.261642157,11073
ready,5815,7272,1.250558899,13087
yeah,7810,9711,1.24340589,17521
us,5184,6433,1.240933642,11617
looking,5887,7267,1.234414812,13154
always,6381,7844,1.229274408,14225
better,8383,10234,1.220804008,18617
maybe,5024,6096,1.213375796,11120
well,15404,18681,1.212736951,34085
done,5475,6637,1.212237443,12112
also,4370,5266,1.205034325,9636
actually,4219,5084,1.205024887,9303
thats,4155,4990,1.200962696,9145
soon,4752,5696,1.198653199,10448
&amp;,18405,21942,1.192176039,40347
give,3817,4500,1.178936337,8317
saw,4463,5248,1.175890657,9711
night,13947,16350,1.172295117,30297
lot,3673,4227,1.150830384,7900
big,4974,5646,1.135102533,10620
day,30021,33595,1.119049998,63616
may,3735,4143,1.109236948,7878
watch,7124,7824,1.098259405,14948
